,id,text,created_at,retweet_count,favorite_count,source,country,user_id,user_screen_name,user_name,user_created_at,user_followers_count,user_friends_count,user_location
0,1030458489070596096,"When a politician admits that “We’re not going to make America great again,” there doesn’t seem to be much reason t… ",2018-08-17 14:17:03,9925,37370,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
1,1030456820417081344,Wow! Big pushback on Governor Andrew Cuomo of New York for his really dumb statement about America’s lack of greatn… ,2018-08-17 14:10:25,9593,37184,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
2,1030433779112923136,The U.S. has more than double the growth rate than it had 18 months ago.,2018-08-17 12:38:52,11329,47146,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
3,1030431396341444609,"Just announced, youth unemployment is at a 50 year low!  ",2018-08-17 12:29:24,11894,51431,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
4,1030426536871116801,"....attend the big parade already scheduled at Andrews Air Force Base on a different date, &amp; go to the Paris parade… ",2018-08-17 12:10:05,9668,41404,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
5,1030423480725118976,"The local politicians who run Washington, D.C. (poorly) know a windfall when they see it. When asked to give us a p… ",2018-08-17 11:57:56,11502,47035,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
6,1030419975692005376,"How does a politician, Cuomo, known for pushing people and businesses out of his state, not to mention having the h… ",2018-08-17 11:44:01,13957,49682,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
7,1030416679069777921,In speaking with some of the world’s top business leaders I asked what it is that would make business (jobs) even b… ,2018-08-17 11:30:55,10538,44529,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
8,1030274024809656325,".....released in 2017. If his statement is based on intelligence he has seen since leaving office, it constitutes a… ",2018-08-17 02:04:03,11285,41684,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
9,1030271721780256768,“Director Brennan’s recent statements purport to know as fact that the Trump campaign colluded with a foreign power… ,2018-08-17 01:54:54,15725,56647,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
10,1030270284245467136,“....An incredibly corrupt FBI &amp; DOJ trying to steer the outcome of a Presidential Election. Brennan has gone off t… ,2018-08-17 01:49:11,17781,65560,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
11,1030257073047658501,"How can “Senator” Richard Blumenthal, who went around for twenty years as a Connecticut politician bragging that he… ",2018-08-17 00:56:42,24796,86330,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
12,1030254224330969090,. speaking of John Brennan: “How did somebody so obviously limited intellectually get to be CIA Direc… ,2018-08-17 00:45:22,15998,58954,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
13,1030241273784020993,"“Very concerned about Comey’s firing, afraid they will be exposed,” said Bruce Ohr. DOJ’s Emails &amp; Notes show Bruce… ",2018-08-16 23:53:55,18643,63548,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
14,1030239036093411328,"“While Steele shopped the document to multiple media outlets, he also asked for help with a RUSSIAN Oligarch.”  Cat… ",2018-08-16 23:45:01,15213,51547,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
15,1030237078586617856,“The FBI received documents from Bruce Ohr (of the Justice Department &amp; whose wife Nelly worked for Fusion GPS).” D… ,2018-08-16 23:37:15,18389,66862,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
16,1030235363258851328,Turkey has taken advantage of the United States for many years. They are now holding our wonderful Christian Pastor… ,2018-08-16 23:30:26,19892,71624,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
17,1030166194723205122,Thank you for the kind words Omarosa! ,2018-08-16 18:55:35,22908,76236,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
18,1030163121678245889,Great  meeting today at the  ,2018-08-16 18:43:22,9729,46082,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
19,1030116078125568006,"The Queen of Soul, Aretha Franklin, is dead. She was a great woman, with a wonderful gift from God, her voice. She will be missed!",2018-08-16 15:36:26,26369,136054,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
20,1030094399362007040,There is nothing that I would want more for our Country than true FREEDOM OF THE PRESS. The fact is that the Press… ,2018-08-16 14:10:17,34198,124088,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
21,1030091812495654912,"The Boston Globe, which was sold to the the Failing New York Times for 1.3 BILLION DOLLARS (plus 800 million dollar… ",2018-08-16 14:00:00,15781,61061,Twitter for iPhone,,25073877,realDonaldTrump,Donald J. Trump,2009-03-18 13:46:38,53816763,47,"Washington, DC"
